id,revenue_date,final_price,year_revenue
2330,2022/12,448.5,22639.0
2330,2022/11,490,20713.0
2330,2022/10,390,18486.0
2330,2022/09,422,16384.0
2330,2022/08,505,14301.0
2308,2022/12,286.5,3844.0
2308,2022/11,302,3500.0
2308,2022/10,257.5,3143.0
2308,2022/09,253,2788.0
2308,2022/08,263,2419.0
2454,2022/12,625,5488.0
2454,2022/11,733,5101.0
2454,2022/10,590,4740.0
2454,2022/09,551,4406.0
2454,2022/08,667,3840.0
